x_Li,OCV [V]
0.23771711,4.668292683
0.246713367,4.648780488
0.258708377,4.625365854
0.271303138,4.603902439
0.281498896,4.582439024
0.293493907,4.55902439
0.307887919,4.527804878
0.318683428,4.504390244
0.332477689,4.471219512
0.349870454,4.430243902
0.366663468,4.387317073
0.383456482,4.348292683
0.396650993,4.317073171
0.417642261,4.270243902
0.433835524,4.231219512
0.45242779,4.190243902
0.466821802,4.16097561
0.479416563,4.135609756
0.501607331,4.090731707
0.521399098,4.055609756
0.540591114,4.020487805
0.557983879,3.989268293
0.574177142,3.96195122
0.596367911,3.926829268
0.622756933,3.887804878
0.652744458,3.850731707
0.67913348,3.825365854
0.705522503,3.8
0.734910277,3.780487805
0.764897803,3.76097561
0.796684579,3.745365854
0.8218741,3.729756098
0.843465119,3.72
0.868054889,3.706341463
0.896842913,3.690731707
0.926830439,3.667317073
0.955018712,3.643902439
0.971211976,3.624390244
0.981407734,3.606829268
0.990403992,3.575609756
0.995201996,3.538536585
0.997600998,3.2
1,2.6
